2MASX,NED_id,ra,dec,l,b,Kmag,Kmag_err,z,zdist,zdist_err,D,D_err,gal_type,n_sumss,n_nvss,F1400,F1400_err,F843,F843_err,Fsyn,Lsyn,sum_ma,max_ma,lim_ma,max_dist_to_gal,min_dist_to_gal,contour_dist,geo_cen_ra,geo_cen_dec,flux_cen_ra,flux_cen_dec,class
17435781+1935091,2MASX J17435781+1935091,265.99097,19.58592,43.83556,23.33883,11.747,0.076,0.084001855,0.088312421,0.000500347,392.0993526,2.221495983,98,0,4,568,12.40080643,0,0,656.4317007,1.32827E+41,0.063972222,0.023194444,0,0.025310443,0.000537899,0,265.9918179,19.58032346,265.9830211,19.57605682,j
17445666+5542166,NGC 6454,266.23596,55.7047,83.72182,31.34384,10.115,0.032,0.030421193,0.031666462,0.000500347,135.0520183,2.133893438,-4,0,4,795.4,18.03080697,0,0,919.2355189,2.20665E+40,0.0975,0.035333333,0,0.050297776,0.000317298,0.001219872,266.2190106,55.70492878,266.204225,55.70519545,j
17480808+5123570,NGC 6466,267.03369,51.39918,78.76481,30.51637,10.771,0.041,0.022662455,0.023665628,0.000500347,100.3307528,2.121227467,-3,0,3,558.6,17.43358827,0,0,645.5682183,8.55292E+39,0.028972222,0.015611111,0,0.01678849,0.001287749,0,267.0336643,51.40218343,267.0269875,51.4023571,j
17554844+6236435,NGC 6521,268.95184,62.61216,91.81821,30.21723,9.742,0.039,0.027462466,0.028664624,0.000500347,121.9779349,2.129149811,-5,0,2,297,8.670063437,0,0,343.2398153,6.72147E+39,0.018888889,0.013638889,0,0.023632559,0.000231002,0.001262181,268.9490811,62.61671473,268.9492286,62.61254741,p
18065063+6949275,UGC 11130,271.71109,69.82441,100.1312,29.16702,10.948,0.039,0.050998863,0.05323174,0.000500347,230.6178294,2.167671246,-5,0,4,2090.7,72.74372825,0,0,2416.200276,1.69131E+41,0.080472222,0.035194444,0,0.025543729,0.000295862,0,271.7282404,69.82947846,271.7037433,69.8255428,j
18071483-7012383,PKS 1801-702,271.81192,-70.21067,323.90161,-21.79673,10.898,0.071,0.040057907,0.040231935,0.000500347,172.6661277,2.147372697,-5,1,0,0,0,1278,38.4,1089.411079,4.27475E+40,0,0,1,0.00104006,0.00104006,0,271.7962923,-70.21075144,271.8053139,-70.21066007,p
18082315+0841030,2MASX J18082315+0841030,272.0965,8.68418,35.89094,13.48241,11.482,0.065,0.048707266,0.050313358,0.000500347,217.517862,2.163130993,98,0,5,242.8,5.778408085,0,0,280.6014382,1.74737E+40,0.124694444,0.035277778,0,0.105882068,0.000120003,0,272.1053664,8.654167583,272.1053652,8.650000646,j
18105480+5000459,MCG +08-33-027,272.72839,50.01276,77.83013,26.74196,11.504,0.072,0.050094899,0.052205376,0.000500347,226.0047863,2.166075586,98,0,3,484.5,11.51564154,0,0,559.9316179,3.76422E+40,0.051444444,0.020916667,0,0.045847396,0.00644318,0,272.7564318,50.00769225,272.7439445,50.01634021,j
18120123+2127486,NGC 6577,273.00513,21.46349,48.35886,17.9751,9.814,0.029,0.017338746,0.017143473,0.000600416,72.32437278,2.533018261,-5,0,8,344.7,6.990708119,0,0,398.3662099,2.74256E+39,0.190694444,0.03525,0,0.123654825,0.00043251,0,273.0114305,21.39729579,273.016051,21.41810979,j
18175610+3348594,2MASX J18175610+3348594,274.48373,33.81655,61.09904,21.19118,11.514,0.054,0.073511213,0.077118479,0.000500347,339.7752436,2.204471428,98,0,3,364.7,11.85284776,0,0,421.4800022,6.4042E+40,0.033555556,0.0135,0,0.032909106,0.00766465,0.001100877,274.4899683,33.82947723,274.4849531,33.82530796,u
18185802-5508155,2MASX J18185802-5508155,274.74173,-55.13762,339.34888,-17.59641,11.514,0.077,0.072633935,0.075000306,0.000500347,329.9575527,2.201234122,98,2,0,0,0,627.7,15.50483795,535.0730314,7.66714E+40,0.013333333,0.013333333,0,0.014311856,0.009464763,0.008076977,274.7277534,-55.13451304,274.733215,-55.1308837,j
18212466-7634598,NGC 6557,275.35278,-76.58333,317.58951,-24.61761,9.295,0.025,0.018356121,0.01753502,0.00047533,73.5760664,1.948031571,-2,1,0,0,0,704.5,21.2,600.5399882,4.27877E+39,0,0,1,0.000196737,0.000196737,0,275.2992511,-76.5855231,275.3530441,-76.58361409,p
18254934+4654088,CGCG 254-040,276.45557,46.90252,75.10654,23.62704,11.426,0.063,0.015500799,0.015296225,0.000383599,64.44112365,1.61605678,20,0,3,371.1,7.895568377,0,0,428.8764157,2.34403E+39,0.022694444,0.0095,0,0.033943207,0.010290141,0.001527635,276.476093,46.9069473,276.4699943,46.90702693,u
18285693+3220047,B2 1827+32A,277.23724,32.33456,60.461,18.51556,11.713,0.061,0.065011958,0.06796747,0.000500347,297.5521601,2.190449291,98,0,6,351.6,7.393916418,0,0,406.3404682,4.73501E+40,0.116138889,0.035305556,0,0.098480717,0.000641393,0.001899482,277.2535719,32.35892236,277.2390144,32.346221,j
18324117-3411274,2MASX J18324117-3411274,278.17145,-34.19094,0.14825,-11.30738,9.362,0.016,0.018562932,0.018140644,0.000508686,76.58885345,2.147645814,-1,1,1,226.1,8,319.9,10,272.6937434,2.10528E+39,0.004388889,0.004388889,0,0.000272146,0.000111704,0,278.1738442,-34.19263772,278.1688478,-34.18843368,j
18350342+3241471,CGCG 173-014,278.76419,32.69636,61.30522,17.44598,10.409,0.03,0.057870316,0.0603546,0.000500347,262.8082735,2.178712157,-5,0,3,5635.8,131.266218,0,0,6513.235526,5.92078E+41,0.036777778,0.019777778,0,0.024578894,0.014675567,0.002709935,278.7673052,32.69147276,278.7672943,32.69563972,j
18363966+1943454,UGC 11294 NOTES01,279.16528,19.72928,49.1251,11.99981,9.104,0.028,0.016144581,0.015852081,0.000416956,66.81099501,1.757323227,-5,0,10,1558,25.19801579,0,0,1800.564418,1.05781E+40,0.20575,0.035333333,0,0.112986937,0.001836272,0,279.145908,19.68128165,279.163632,19.67719907,j
