level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
1492,493,AGC 231127,97.423,196.285,27.5128,40.9171,86.9325,-9.9
1493,494,NGC 957,2.2,196.302,27.5697,41.9366,86.911,208.4
1494,495,AGC 230071,97.423,196.523,28.5931,58.116,86.4456,-9.9
1495,496,AGC 231130,97.423,196.655,28.3375,53.6045,86.4297,-9.9
1496,497,NGC 971,97.423,196.729,28.5481,56.3643,86.2959,-9.9
1497,498,NGC 004,1.65,197.756,29.6367,64.2895,85.0156,-9.9
1498,499,PGC 83808,33.859,198.484,-16.2733,310.753,46.2565,49.0
1499,500,PGC 83851,27.282,198.767,-16.3944,311.119,46.1013,57.0
1500,501,PGC 83855,38.155,198.794,-16.2389,311.185,46.2521,87.0
1501,502,PGC 83905,36.31,199.203,-16.3444,311.726,46.0936,56.0
1502,503,NGC 103,23.4,200.125,43.0839,104.525,72.9903,111.2
1503,504,Canes_Venatici_,0.215,202.015,33.5558,74.3057,79.8229,6.6
1508,509,NGC 308,29.12,206.752,60.9731,111.249,54.8769,206.5
1509,510,NGC 322,27.082,207.314,60.1906,110.279,55.4947,224.4
1510,511,NGC 342,40.05,207.857,59.8639,109.607,55.6853,154.5
1511,512,NGC 353,33.767,208.361,40.2831,82.6108,71.6335,281.2
1512,513,NGC 355,37.65,208.44,40.3386,82.6196,71.552,87.7
1513,514,NGC 358,38.0,208.502,40.2772,82.375,71.5563,86.7
1514,515,NGC 379,21.9,208.893,59.7428,108.68,55.5755,90.4
1515,516,UGC 876,33.9,209.242,45.9733,92.664,67.1145,127.4
1516,517,Bootes_III,0.049,209.3,26.8,35.4052,75.3535,2.4
1517,518,Bootes_II,0.052,209.5,12.85,353.694,68.8709,3.4
1520,521,NGC 473,33.4,211.18,54.8925,102.26,59.1964,180.7
1522,523,NGC 481,30.817,211.672,50.7233,96.7761,62.4117,121.6
1523,524,NGC 485,27.94,211.797,55.0017,101.803,58.9095,167.1
1524,525,PGC 50395,37.2,211.914,54.7947,101.47,59.043,81.1
1526,527,NGC 493,38.9,212.872,-5.04361,336.952,52.4593,197.7
1528,529,NGC 557,40.7,214.607,36.4936,65.3028,69.3491,202.3
1530,531,NGC 574,23.95,215.233,3.23806,348.644,57.9334,80.7
1531,532,NGC 576,23.93,215.265,3.27111,348.73,57.9384,155.2
1533,534,NGC 631,29.775,216.639,56.5825,99.5273,56.0103,150.0
1534,535,PGC 51753,38.3,217.31,44.6989,81.2951,63.7162,88.9
1535,536,NGC 638,24.84,217.418,3.23333,351.685,56.502,144.5
1536,537,IC 1024,24.2,217.863,3.00917,352.007,56.0374,78.0
1538,539,UGC 519,27.6,221.588,34.3706,56.4183,64.369,100.2
1540,541,NGC 813,30.15,225.297,1.70194,359.182,49.8486,210.9
1541,542,NGC 831,28.14,226.029,1.22,359.388,48.9824,143.9
1549,550,Ursa_Minor,0.073,227.285,67.2225,104.965,44.8004,9.2
1551,552,NGC 869,29.833,227.456,0.47,359.98,47.4197,167.5
1553,554,NGC 010,21.6,238.58,0.543056,9.52505,38.73,159.2
1558,559,PGC 58114,23.8,246.518,2.90667,17.3235,33.3566,100.9
1559,560,NGC 149,37.2,246.851,19.5972,36.3832,40.2303,105.0
