id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
1639 , 5BZBJ1108+2615 , BL Lac , 167.1865 , 26.25908 ,  ,  , 44 ,  , 19.1 ,  , 
1640 , 5BZGJ1108+0202 , BL Lac-galaxy dominated , 167.18954 , 2.04469 , 0.157 ,  , 774 ,  , 15.9 , 0.49 , 8e-10
1641 , 5BZGJ1108-0149 , BL Lac-galaxy dominated , 167.24342 , -1.82553 , 0.106 ,  , 82 ,  , 16.7 , 1.6 , 
1642 , 5BZBJ1109+2411 , BL Lac , 167.31742 , 24.18892 ,  ,  , 34 ,  , 18.4 ,  , 3e-10
1643 , 5BZBJ1109+3736 , BL Lac , 167.41042 , 37.60325 , 0.398 ,  , 5 ,  , 18.3 ,  , 
1644 , 5BZBJ1110-1835 , BL Lac , 167.61575 , -18.59797 ,  ,  , 47 ,  , 19.2 , 0.12 , 8e-10
1645 , 5BZBJ1110+7133 , BL Lac , 167.65663 , 71.56572 ,  ,  , 54 ,  , 17.7 , 0.91 , 3e-10
1646 , 5BZQJ1110+4403 , QSO RLoud flat radio sp. , 167.69312 , 44.05719 , 1.693 ,  , 293 ,  , 20 ,  , 
1647 , 5BZBJ1110+3539 , BL Lac , 167.73683 , 35.652 ,  ,  , 5 ,  , 19 , 0.35 , 
1648 , 5BZBJ1110+1704 , BL Lac , 167.73829 , 17.08214 ,  ,  , 35 ,  , 19 ,  , 
1649 , 5BZQJ1111+5227 , QSO RLoud flat radio sp. , 167.7745 , 52.46364 , 1.28 ,  , 115 ,  , 17.7 , 0.12 , 
1650 , 5BZQJ1111+1530 , QSO RLoud flat radio sp. , 167.82729 , 15.50922 , 0.525 ,  , 36 ,  , 18.9 , 0.3 , 
1651 , 5BZBJ1111+3452 , BL Lac , 167.87871 , 34.86761 , 0.212 ,  , 7 ,  , 19.3 , 4 , 
1652 , 5BZBJ1112+2608 , BL Lac , 168.03312 , 26.13436 , 0.45 ,  , 9 ,  , 18.7 , 0.57 , 
1653 , 5BZBJ1112+1751 , BL Lac , 168.1025 , 17.85606 , 0.421 ,  , 14 ,  , 18.4 , 1.5 , 
1654 , 5BZQJ1112-3745 , QSO RLoud flat radio sp. , 168.15338 , -37.76256 , 0.979 ,  , 85 ,  , 17.4 , 0.33 , 
1655 , 5BZQJ1112+3446 , QSO RLoud flat radio sp. , 168.16154 , 34.77753 , 1.956 ,  , 166 , 383 , 19.3 , 0.26 , 1.7e-9
1656 , 5BZBJ1112-2712 , BL Lac , 168.16383 , -27.20542 ,  ,  , 140 ,  , 18.8 ,  , 
1657 , 5BZQJ1113-3549 , QSO RLoud flat radio sp. , 168.25617 , -35.83008 , 1.695 ,  , 319 ,  , 19 ,  , 
1658 , 5BZQJ1113+1442 , QSO RLoud flat radio sp. , 168.49458 , 14.7075 , 0.869 ,  , 642 ,  , 17.5 , 0.94 , 
1659 , 5BZQJ1114-0816 , QSO RLoud flat radio sp. , 168.63562 , -8.2775 , 2.078 ,  , 370 ,  , 20.9 ,  , 
1660 , 5BZQJ1114-0247 , QSO RLoud flat radio sp. , 168.66525 , -2.79211 , 1.04 ,  , 187 ,  , 19.2 ,  , 
1661 , 5BZUJ1116+0829 , Blazar Uncertain type , 169.04154 , 8.48944 , 0.486 ,  , 245 ,  , 20.2 ,  , 
1662 , 5BZBJ1117+2014 , BL Lac , 169.27604 , 20.23536 , 0.138 ,  , 103 ,  , 16.3 , 33.6 , 1.9e-9
1663 , 5BZBJ1117+0006 , BL Lac , 169.323 , 0.10933 , 0.451 ,  , 14 ,  , 19.1 , 1.58 , 
1664 , 5BZBJ1117+2548 , BL Lac , 169.41837 , 25.81292 , 0.36 ,  ?  , 12 ,  , 16.7 , 0.6 , 
1665 , 5BZBJ1117+5355 , BL Lac , 169.4885 , 53.93192 ,  ,  , 12 ,  , 17.5 , 0.45 , 8e-10
1666 , 5BZQJ1118-1232 , QSO RLoud flat radio sp. , 169.57142 , -12.54842 , 1.739 ,  , 776 , 431 , 18.2 , 0.35 , 
1667 , 5BZQJ1118-3054 , QSO RLoud flat radio sp. , 169.58588 , -30.91625 , 2.353 ,  , 234 ,  , 17.6 , 0.11 , 
1668 , 5BZQJ1118-4634 , QSO RLoud flat radio sp. , 169.61233 , -46.57083 , 0.713 ,  , 2570 , 625 , 16.5 , 0.96 , 6e-10
1669 , 5BZQJ1118+1234 , QSO RLoud flat radio sp. , 169.73875 , 12.57825 , 2.129 ,  , 1112 ,  , 18.5 , 0.45 , 
1670 , 5BZGJ1119+0900 , BL Lac-galaxy dominated , 169.78725 , 9.00636 , 0.33 ,  , 22 ,  , 17.5 , 0.65 , 
1671 , 5BZQJ1119+6004 , QSO RLoud flat radio sp. , 169.80975 , 60.08256 , 2.646 ,  , 218 ,  , 17.1 , 0.17 , 
1672 , 5BZBJ1119-3047 , BL Lac , 169.915 , -30.78914 , 0.412 ,  , 9 ,  , 19.9 , 1.53 , 
1673 , 5BZQJ1119+0410 , QSO RLoud flat radio sp. , 169.92842 , 4.17442 , 0.736 ,  , 303 ,  , 20.9 , 0.27 , 
1674 , 5BZQJ1119+1656 , QSO RLoud flat radio sp. , 169.96846 , 16.94914 , 0.949 ,  , 82 ,  , 19.1 , 0.47 , 
1675 , 5BZQJ1120-2719 , QSO RLoud flat radio sp. , 170.06746 , -27.31844 , 1.881 ,  , 474 ,  , 18.2 ,  , 
1676 , 5BZQJ1120+5404 , QSO RLoud flat radio sp. , 170.09712 , 54.07464 , 0.924 ,  , 269 ,  , 18.9 , 0.17 , 
1677 , 5BZQJ1120+0704 , QSO RLoud flat radio sp. , 170.16017 , 7.07975 , 1.336 ,  , 242 ,  , 20.6 , 0.09 , 9e-10
1678 , 5BZBJ1120+4212 , BL Lac , 170.20025 , 42.20344 ,  ,  , 24 ,  , 17 , 7.81 , 1.2e-9
1679 , 5BZQJ1120-1420 , QSO RLoud flat radio sp. , 170.2315 , -14.34164 , 1.114 ,  , 350 ,  , 17.1 ,  , 
1680 , 5BZBJ1120+0144 , BL Lac , 170.24896 , 1.74911 , 0.368 ,  , 24 ,  , 19 , 0.58 , 
1681 , 5BZQJ1121-1722 , QSO RLoud flat radio sp. , 170.33671 , -17.378 , 0.986 ,  , 44 ,  , 16.8 ,  , 
1682 , 5BZQJ1121-0553 , QSO RLoud flat radio sp. , 170.35463 , -5.899 , 1.297 ,  , 588 , 664 , 17.6 , 0.35 , 3.9e-9
1683 , 5BZBJ1121-0711 , BL Lac , 170.4255 , -7.18511 ,  ,  , 214 ,  , 17.8 ,  , 
1684 , 5BZQJ1121-0442 , QSO RLoud flat radio sp. , 170.42963 , -4.71003 , 1.73 ,  , 149 ,  , 19.4 ,  , 
1685 , 5BZGJ1121+4314 , BL Lac-galaxy dominated , 170.48625 , 43.24914 , 0.185 ,  , 48 ,  , 17 ,  , 
1686 , 5BZQJ1122-2532 , QSO RLoud flat radio sp. , 170.52392 , -25.54272 , 2.36 ,  , 246 ,  , 18 ,  , 
1687 , 5BZBJ1122+4316 , BL Lac , 170.54921 , 43.28047 ,  ,  , 3 ,  , 19.4 ,  , 
1688 , 5BZQJ1122+1805 , QSO RLoud flat radio sp. , 170.62379 , 18.09064 , 1.04 ,  , 693 ,  , 17.3 , 0.29 , 
1689 , 5BZBJ1123+7229 , BL Lac Candidate , 170.95487 , 72.49989 ,  ,  , 12 ,  , 18.8 , 3.59 , 
1690 , 5BZQJ1124-1501 , QSO RLoud flat radio sp. , 171.01071 , -15.03303 , 2.561 ,  , 262 ,  , 19.7 ,  , 
1691 , 5BZQJ1124+2336 , QSO RLoud flat radio sp. , 171.01129 , 23.61275 , 1.549 ,  , 525 , 390 , 20.1 , 0.19 , 6e-10
1692 , 5BZBJ1124+2045 , BL Lac , 171.02229 , 20.76492 ,  ,  , 9 ,  , 18.5 , 0.34 , 
1693 , 5BZGJ1124+5133 , BL Lac-galaxy dominated , 171.05488 , 51.56375 , 0.235 ,  , 54 ,  , 16.8 ,  , 
1694 , 5BZBJ1124+4934 , BL Lac , 171.22429 , 49.56939 ,  ,  , 20 ,  , 18.5 , 1.69 , 3e-10
1695 , 5BZBJ1125+2143 , BL Lac , 171.26517 , 21.71669 ,  ,  , 8 ,  , 18.2 ,  , 
1696 , 5BZBJ1125-3557 , BL Lac , 171.38117 , -35.95092 , 0.284 ,  , 207 ,  , 16.3 , 0.24 , 8e-10
1697 , 5BZQJ1125+0001 , QSO RLoud flat radio sp. , 171.42625 , 0.01706 , 1.696 ,  , 32 ,  , 17.6 ,  , 
1698 , 5BZBJ1125-0742 , BL Lac , 171.46663 , -7.70586 , 0.279 ,  ?  , 37 ,  , 17.5 , 2.49 , 4e-10
1699 , 5BZQJ1125+2610 , QSO RLoud flat radio sp. , 171.47379 , 26.17222 , 2.341 ,  , 921 ,  , 18.2 ,  , 
1700 , 5BZQJ1126+4516 , QSO RLoud flat radio sp. , 171.74021 , 45.26842 , 1.811 ,  , 404 ,  , 17.2 , 0.37 , 
1701 , 5BZQJ1127-1857 , QSO RLoud flat radio sp. , 171.76829 , -18.95483 , 1.048 ,  , 536 , 722 , 19.2 , 5.34 , 3.4e-9
1702 , 5BZBJ1127+0555 , BL Lac , 171.90221 , 5.92558 ,  ,  , 162 , 345 , 19.7 ,  , 
1703 , 5BZQJ1127+5650 , QSO RLoud flat radio sp. , 171.91721 , 56.83744 , 2.89 ,  , 475 ,  , 19.6 , 0.22 , 
1704 , 5BZQJ1127+3620 , QSO RLoud flat radio sp. , 171.99529 , 36.34122 , 0.884 ,  , 168 ,  , 20.5 ,  , 7e-10
1705 , 5BZQJ1128+5925 , QSO RLoud flat radio sp. , 172.05558 , 59.42078 , 1.795 ,  , 301 ,  , 19.6 ,  , 
1706 , 5BZBJ1129+3756 , BL Lac , 172.2635 , 37.94908 ,  ,  , 27 ,  , 19.7 ,  , 
1707 , 5BZBJ1129+3703 , BL Lac , 172.30963 , 37.05497 ,  ,  , 61 ,  , 19.1 ,  , 
1708 , 5BZUJ1129-4435 , Blazar Uncertain type , 172.38217 , -44.59719 , 0.317 ,  , 34 ,  , 19.2 , 0.42 , 
1709 , 5BZQJ1129-0240 , QSO RLoud flat radio sp. , 172.47058 , -2.66872 , 2.093 ,  , 37 ,  , 20.8 ,  , 
1710 , 5BZQJ1130-1449 , QSO RLoud flat radio sp. , 172.52938 , -14.82428 , 1.184 ,  , 5622 , 1914 , 16 , 1.39 , 1.8e-9
1711 , 5BZQJ1130+3815 , QSO RLoud flat radio sp. , 172.722 , 38.25514 , 1.733 ,  , 702 , 634 , 18.7 , 0.4 , 
1712 , 5BZQJ1131+3114 , QSO RLoud flat radio sp. , 172.7895 , 31.23486 , 0.289 ,  , 370 ,  , 16.1 , 5.02 , 
1713 , 5BZBJ1131+0234 , BL Lac , 172.81446 , 2.58067 ,  ,  , 12 ,  , 18.5 ,  , 
1714 , 5BZBJ1131+5808 , BL Lac , 172.82767 , 58.14967 , 0.36 ,  , 43 ,  , 16.7 , 0.18 , 4e-10
1715 , 5BZUJ1131-0500 , Blazar Uncertain type , 172.87717 , -5.00547 , 0.266 ,  ?  , 561 , 674 , 18.7 , 0.16 , 
1716 , 5BZQJ1131-1628 , QSO RLoud flat radio sp. , 172.90312 , -16.47594 , 0.786 ,  , 57 ,  , 20.3 ,  , 
1717 , 5BZQJ1132+0914 , QSO RLoud flat radio sp. , 173.13617 , 9.24114 , 1.575 ,  , 43 ,  , 20.2 ,  , 
1718 , 5BZBJ1132+0237 , BL Lac , 173.14325 , 2.62781 ,  ,  , 63 ,  , 19.2 ,  , 
1719 , 5BZBJ1132+0034 , BL Lac , 173.19008 , 0.57439 , 1.223 ,  ?  , 469 ,  , 18.1 , 0.2 , 1.8e-9
1720 , 5BZGJ1132+0515 , BL Lac-galaxy dominated , 173.23321 , 5.261 , 0.101 ,  , 60 ,  , 16.2 , 0.43 , 
1721 , 5BZQJ1133+0015 , QSO RLoud flat radio sp. , 173.26262 , 0.26361 , 1.173 ,  , 233 ,  , 18.6 ,  , 
1722 , 5BZBJ1133-2501 , BL Lac , 173.31404 , -25.01931 ,  ,  , 81 ,  , 18.5 ,  , 
1723 , 5BZQJ1133+0040 , QSO RLoud flat radio sp. , 173.33358 , 0.68133 , 1.633 ,  , 365 ,  , 19.5 ,  , 
1724 , 5BZQJ1133-0905 , QSO RLoud flat radio sp. , 173.39996 , -9.08983 , 0.992 ,  , 192 ,  , 19.3 ,  , 
1725 , 5BZBJ1134-1729 , BL Lac , 173.68625 , -17.48383 , 0.571 ,  , 5 ,  , 19.2 , 1.68 , 
1726 , 5BZBJ1135+3200 , BL Lac , 173.76487 , 32.00433 , 0.511 ,  , 21 ,  , 19.3 , 0.25 , 
1727 , 5BZBJ1135+6609 , BL Lac , 173.84879 , 66.16139 ,  ,  , 63 ,  , 18.9 ,  , 
1728 , 5BZQJ1135-0428 , QSO RLoud flat radio sp. , 173.99262 , -4.47442 , 0.273 ,  ?  , 200 , 569 , 17.8 ,  , 
1729 , 5BZBJ1136+1601 , BL Lac , 174.07312 , 16.03117 , 0.574 ,  ?  , 17 ,  , 19.6 , 0.31 , 
1730 , 5BZQJ1136-0330 , QSO RLoud flat radio sp. , 174.10242 , -3.50819 , 1.643 ,  , 163 ,  , 19.7 , 0.14 , 
1731 , 5BZBJ1136+7009 , BL Lac , 174.11004 , 70.15758 , 0.045 ,  , 327 ,  , 11 , 35.1 , 1.1e-9
1732 , 5BZQJ1136+3407 , QSO RLoud flat radio sp. , 174.11396 , 34.12764 , 1.332 ,  , 136 ,  , 19.8 ,  , 
1733 , 5BZBJ1136+6737 , BL Lac , 174.12542 , 67.61789 , 0.136 ,  , 45 ,  , 16.4 , 14.8 , 6e-10
1734 , 5BZGJ1136+2550 , BL Lac-galaxy dominated , 174.20875 , 25.84786 , 0.156 ,  , 16 ,  , 16.8 , 0.47 , 3e-10
1735 , 5BZBJ1137-1710 , BL Lac , 174.48175 , -17.17836 , 0.6 ,  , 5 ,  , 19 , 2.18 , 
1736 , 5BZBJ1138+4113 , BL Lac , 174.55062 , 41.23133 , 0.574 ,  ?  , 24 ,  , 19.7 ,  , 
1737 , 5BZQJ1138+4745 , QSO RLoud flat radio sp. , 174.58808 , 47.75428 , 0.77 ,  , 305 ,  , 19.4 , 0.29 , 
1738 , 5BZQJ1139-1552 , QSO RLoud flat radio sp. , 174.87325 , -15.88103 , 2.625 ,  , 273 ,  , 19.6 ,  , 
1739 , 5BZBJ1140+1528 , BL Lac , 175.09783 , 15.46936 , 0.244 ,  , 70 ,  , 17.3 , 4.75 , 
1740 , 5BZQJ1140+4622 , QSO RLoud flat radio sp. , 175.19962 , 46.36803 , 0.115 ,  , 98 ,  , 15.6 , 1.82 , 
1741 , 5BZBJ1142+1547 , BL Lac , 175.53225 , 15.79839 ,  ,  , 334 ,  , 20.2 ,  , 8e-10
1742 , 5BZGJ1143+7304 , BL Lac-galaxy dominated , 175.77062 , 73.06922 , 0.123 ,  , 48 ,  , 16.8 ,  , 
1743 , 5BZQJ1143+1843 , QSO RLoud flat radio sp. , 175.77513 , 18.72856 , 0.374 ,  , 57 ,  , 16.9 , 1.26 , 
1744 , 5BZBJ1143+6122 , BL Lac , 175.8005 , 61.36967 ,  ,  , 83 ,  , 18 , 0.16 , 8e-10
1745 , 5BZQJ1143+6633 , QSO RLoud flat radio sp. , 175.92333 , 66.55867 , 2.328 ,  , 132 ,  , 19.2 ,  , 
1746 , 5BZBJ1143+5102 , BL Lac , 175.99 , 51.04358 ,  ,  , 37 ,  , 20.6 , 0.28 , 
1747 , 5BZQJ1145+0455 , QSO RLoud flat radio sp. , 176.33883 , 4.92408 , 1.342 ,  , 666 ,  , 19 , 0.24 , 
1748 , 5BZQJ1145-2250 , QSO RLoud flat radio sp. , 176.34187 , -22.84203 , 1.141 ,  , 653 ,  , 20.1 ,  , 
1749 , 5BZGJ1145-0340 , BL Lac-galaxy dominated , 176.39629 , -3.66714 , 0.167 ,  , 18 ,  , 17.1 , 4.1 , 
1750 , 5BZQJ1145-6954 , QSO RLoud flat radio sp. , 176.47342 , -69.9005 , 0.244 ,  , 439 , 692 , 15.7 , 3.05 , 
1751 , 5BZQJ1146-2447 , QSO RLoud flat radio sp. , 176.53375 , -24.79247 , 1.94 ,  , 1434 ,  , 17 ,  , 
1752 , 5BZQJ1146-2859 , QSO RLoud flat radio sp. , 176.60913 , -28.98847 , 0.45 ,  , 288 ,  , 18.3 ,  , 
1753 , 5BZQJ1146+5848 , QSO RLoud flat radio sp. , 176.61212 , 58.80953 , 1.982 ,  , 372 ,  , 20.5 ,  , 
1754 , 5BZQJ1146+5356 , QSO RLoud flat radio sp. , 176.68417 , 53.94531 , 2.201 ,  , 367 ,  , 19.6 ,  , 
1755 , 5BZQJ1146+3958 , QSO RLoud flat radio sp. , 176.74292 , 39.97619 , 1.089 ,  , 331 , 592 , 18.3 , 0.69 , 2e-9
1756 , 5BZBJ1147-3812 , BL Lac , 176.75571 , -38.20306 , 1.048 ,  ?  , 1804 , 1387 , 15.7 , 0.91 , 1.6e-9
1757 , 5BZGJ1147+3501 , BL Lac-galaxy dominated , 176.84221 , 35.01875 , 0.063 ,  , 637 ,  , 14.6 , 0.39 , 
1758 , 5BZQJ1147-6753 , QSO RLoud flat radio sp. , 176.88917 , -67.89494 , 0.21 ,  , 780 , 998 , 16.6 , 0.5 , 
1759 , 5BZQJ1147-0724 , QSO RLoud flat radio sp. , 176.96479 , -7.41142 , 1.342 ,  , 740 ,  , 18.3 , 0.34 , 1.7e-9
1760 , 5BZGJ1147+2205 , BL Lac-galaxy dominated , 176.97975 , 22.09492 , 0.276 ,  , 4 ,  , 19.4 , 8.36 , 
1761 , 5BZQJ1147+2635 , QSO RLoud flat radio sp. , 176.999 , 26.59508 , 0.867 ,  , 342 ,  , 18.2 , 0.47 , 
1762 , 5BZQJ1148+5654 , QSO RLoud flat radio sp. , 177.01329 , 56.90325 , 0.451 ,  , 66 ,  , 17.9 , 0.62 , 
1763 , 5BZBJ1148+1840 , BL Lac , 177.15738 , 18.66917 ,  ,  , 460 ,  , 19.4 ,  , 
1764 , 5BZGJ1148+5924 , BL Lac-galaxy dominated , 177.20983 , 59.41567 , 0.011 ,  , 481 ,  , 11.5 , 0.49 , 
1765 , 5BZQJ1148-0404 , QSO RLoud flat radio sp. , 177.23283 , -4.06933 , 0.34 ,  , 175 ,  , 15.4 , 1.15 , 
1766 , 5BZQJ1148+5254 , QSO RLoud flat radio sp. , 177.23571 , 52.90703 , 1.632 ,  , 93 ,  , 16.6 , 0.15 , 
1767 , 5BZBJ1149+6243 , BL Lac , 177.35892 , 62.72569 ,  ,  , 19 ,  , 19 ,  , 
1768 , 5BZBJ1149+2439 , BL Lac , 177.37646 , 24.65744 , 0.402 ,  , 28 ,  , 18.1 , 5.52 , 
1769 , 5BZBJ1149+1035 , BL Lac , 177.48196 , 10.58558 ,  ,  , 11 ,  , 19.1 , 0.13 , 
1770 , 5BZGJ1150+5528 , BL Lac-galaxy dominated , 177.50033 , 55.47261 , 0.139 ,  , 153 ,  , 14.3 ,  , 
1771 , 5BZQJ1150+4332 , QSO RLoud flat radio sp. , 177.56917 , 43.53497 , 3.037 ,  , 188 ,  , 20.9 , 0.1 , 
1772 , 5BZBJ1150+2417 , BL Lac , 177.58004 , 24.29828 ,  ,  , 798 , 468 , 16.1 , 0.3 , 1.3e-9
1773 , 5BZQJ1150+0156 , QSO RLoud flat radio sp. , 177.60329 , 1.93897 , 0.706 ,  , 153 ,  , 18.6 , 0.17 , 
1774 , 5BZQJ1150-1930 , QSO RLoud flat radio sp. , 177.63138 , -19.51375 , 2.489 ,  , 384 ,  , 19.5 ,  , 
1775 , 5BZBJ1150+4154 , BL Lac , 177.64488 , 41.91114 ,  ,  , 24 ,  , 17 , 2.13 , 2.2e-9
1776 , 5BZQJ1150-0023 , QSO RLoud flat radio sp. , 177.68279 , -0.39839 , 1.976 ,  , 2774 ,  , 17 , 0.55 , 
1777 , 5BZQJ1151-1723 , QSO RLoud flat radio sp. , 177.76333 , -17.39994 , 1.751 ,  , 768 ,  , 18 ,  , 
1778 , 5BZBJ1151+5859 , BL Lac , 177.85283 , 58.98822 ,  ,  , 185 ,  , 16 , 0.81 , 8e-10
1779 , 5BZBJ1151-1347 , BL Lac , 177.87483 , -13.79742 ,  ,  , 35 ,  , 18.9 ,  , 4e-10
1780 , 5BZBJ1152+2837 , BL Lac , 178.04463 , 28.62256 , 0.441 ,  , 23 ,  , 18.7 ,  , 
1781 , 5BZQJ1152-0841 , QSO RLoud flat radio sp. , 178.07171 , -8.68425 , 2.37 ,  , 698 , 750 , 18 , 0.26 , 1.2e-9
1782 , 5BZBJ1152+1531 , BL Lac , 178.09246 , 15.53003 ,  ,  , 34 ,  , 20.5 ,  , 
1783 , 5BZQJ1152+3209 , QSO RLoud flat radio sp. , 178.11454 , 32.16644 , 0.374 ,  , 40 ,  , 18.6 , 1.92 , 
1784 , 5BZQJ1152+4939 , QSO RLoud flat radio sp. , 178.13696 , 49.66078 , 1.093 ,  , 110 ,  , 17 , 0.28 , 8e-10
1785 , 5BZQJ1152+3307 , QSO RLoud flat radio sp. , 178.21629 , 33.12189 , 1.4 ,  , 207 ,  , 16.1 , 0.33 , 
1786 , 5BZQJ1152-0519 , QSO RLoud flat radio sp. , 178.23121 , -5.33014 , 1.983 ,  , 188 ,  , 18.8 , 0.12 , 
1787 , 5BZQJ1153+8058 , QSO RLoud flat radio sp. , 178.30208 , 80.97478 , 1.25 ,  , 1343 ,  , 18.4 , 0.36 , 
1788 , 5BZQJ1153+0914 , QSO RLoud flat radio sp. , 178.30229 , 9.23397 , 0.696 ,  , 809 ,  , 17.8 , 0.28 , 
1789 , 5BZUJ1153+5831 , Blazar Uncertain type , 178.34992 , 58.52739 , 0.202 ,  , 52 ,  , 17.9 , 1.03 , 
1790 , 5BZQJ1153+4931 , QSO RLoud flat radio sp. , 178.35196 , 49.51911 , 0.334 ,  , 1572 , 1161 , 17.3 , 3.31 , 8e-10
1791 , 5BZQJ1153+3617 , QSO RLoud flat radio sp. , 178.36125 , 36.29064 , 1.358 ,  , 61 ,  , 17.2 , 0.89 , 
1792 , 5BZBJ1153+3823 , BL Lac , 178.42879 , 38.38497 , 0.41 ,  , 149 ,  , 18.6 , 0.39 , 
1793 , 5BZQJ1153+4036 , QSO RLoud flat radio sp. , 178.47775 , 40.61461 , 0.916 ,  , 1136 ,  , 19.3 ,  , 
1794 , 5BZQJ1154+5934 , QSO RLoud flat radio sp. , 178.50571 , 59.58172 , 0.871 ,  , 104 ,  , 20.6 ,  , 
1795 , 5BZBJ1154-0010 , BL Lac , 178.519 , -0.16942 , 0.254 ,  , 9 ,  , 18 , 2.48 , 8e-10
1796 , 5BZQJ1154+6022 , QSO RLoud flat radio sp. , 178.519 , 60.37247 , 1.12 ,  , 97 ,  , 19.7 , 0.23 , 4e-10
1797 , 5BZBJ1154-3242 , BL Lac Candidate , 178.52579 , -32.71203 ,  ,  , 212 ,  , 19.3 ,  , 1.1e-9
1798 , 5BZGJ1154+0238 , BL Lac-galaxy dominated , 178.53867 , 2.63753 , 0.211 ,  , 115 ,  , 17.7 , 0.44 , 
1799 , 5BZGJ1154+1225 , BL Lac-galaxy dominated , 178.54342 , 12.41936 , 0.081 ,  , 52 ,  , 13.8 ,  , 
1800 , 5BZQJ1155-3107 , QSO RLoud flat radio sp. , 178.76317 , -31.13297 , 4.3 ,  , 82 ,  , 18.5 ,  , 
1801 , 5BZBJ1155+0926 , BL Lac , 178.82613 , 9.44478 ,  ,  , 19 ,  , 19.4 , 0.2 , 
1802 , 5BZQJ1155+0214 , QSO RLoud flat radio sp. , 178.92725 , 2.23642 , 0.873 ,  , 110 ,  , 18 , 0.25 , 
1803 , 5BZUJ1155-8101 , Blazar Uncertain type , 178.94225 , -81.02169 , 1.395 ,  ?  , 557 ,  , 20 ,  , 1e-10
1804 , 5BZGJ1156+4238 , BL Lac-galaxy dominated , 179.194 , 42.63539 , 0.172 ,  , 14 ,  , 17.2 , 0.69 , 
1805 , 5BZGJ1157+2822 , BL Lac-galaxy dominated , 179.28971 , 28.36686 , 0.3 ,  , 31 ,  , 17.9 , 0.68 , 
1806 , 5BZGJ1158+2450 , BL Lac-galaxy dominated , 179.60746 , 24.83833 , 0.202 ,  , 1021 ,  , 17.7 ,  , 
1807 , 5BZQJ1158+4825 , QSO RLoud flat radio sp. , 179.61154 , 48.42117 , 2.028 ,  , 275 ,  , 20.5 ,  , 
1808 , 5BZBJ1158+0937 , BL Lac , 179.72654 , 9.61992 ,  ,  , 34 ,  , 18.3 ,  , 7e-10
1809 , 5BZUJ1159-2228 , Blazar Uncertain type , 179.79696 , -22.47692 , 0.565 ,  ?  , 1178 ,  , 19.4 , 0.66 , 1.3e-9
1810 , 5BZUJ1159-0940 , Blazar Uncertain type , 179.80296 , -9.68111 ,  ,  , 1029 ,  , 20.8 ,  , 
1811 , 5BZQJ1159-2142 , QSO RLoud flat radio sp. , 179.83929 , -21.71247 , 0.617 ,  , 321 ,  , 19.1 ,  , 1.6e-9
1812 , 5BZQJ1159+2914 , QSO RLoud flat radio sp. , 179.88262 , 29.2455 , 0.729 ,  , 2031 , 1268 , 18.1 , 0.84 , 6e-9
1813 , 5BZQJ1159-2148 , QSO RLoud flat radio sp. , 179.96629 , -21.81492 , 0.927 ,  , 386 ,  , 17.8 ,  , 1.6e-9
1814 , 5BZGJ1200+4758 , BL Lac-galaxy dominated , 180.195 , 47.97453 , 0.27 ,  , 44 ,  , 17.8 , 0.22 , 
1815 , 5BZGJ1201-0007 , BL Lac-galaxy dominated , 180.27579 , -0.11711 , 0.165 ,  , 71 ,  , 16.9 , 1.05 , 
1816 , 5BZQJ1201+0900 , QSO RLoud flat radio sp. , 180.36417 , 9.01119 , 1.016 ,  , 17 ,  , 16.5 , 0.4 , 
1817 , 5BZGJ1201-0011 , BL Lac-galaxy dominated , 180.43192 , -0.18722 , 0.164 ,  , 29 ,  , 18.6 , 0.56 , 
1818 , 5BZBJ1202+4444 , BL Lac , 180.53608 , 44.73958 , 0.297 ,  , 106 ,  , 17.7 , 0.26 , 
1819 , 5BZQJ1202+2756 , QSO RLoud flat radio sp. , 180.64167 , 27.94056 , 0.672 ,  , 126 ,  , 18.3 , 0.53 , 
1820 , 5BZQJ1202-0528 , QSO RLoud flat radio sp. , 180.64258 , -5.46736 , 0.381 ,  , 530 ,  , 16.6 , 2.8 , 
1821 , 5BZBJ1202+3851 , BL Lac , 180.73775 , 38.86317 ,  ,  , 24 ,  , 18.7 , 0.24 , 
1822 , 5BZBJ1203+6031 , BL Lac , 180.76462 , 60.52197 , 0.065 ,  , 191 ,  , 15.3 , 0.75 , 8e-10
1823 , 5BZQJ1203+4803 , QSO RLoud flat radio sp. , 180.87438 , 48.05378 , 0.817 ,  , 64 ,  , 16.2 , 0.99 , 
1824 , 5BZBJ1203+5430 , BL Lac , 180.88196 , 54.50247 , 0.478 ,  , 72 ,  , 19.2 ,  , 
1825 , 5BZQJ1203+4510 , QSO RLoud flat radio sp. , 180.8975 , 45.18044 , 1.075 ,  , 39 ,  , 17.4 , 0.4 , 
1826 , 5BZBJ1203+5819 , BL Lac , 180.98058 , 58.32931 ,  ,  , 47 ,  , 18.7 ,  , 
1827 , 5BZBJ1204+1145 , BL Lac , 181.0505 , 11.76539 , 0.296 ,  , 15 ,  , 17.7 , 1.18 , 8e-10
