id , 5BZCAT Name , Source Classification , R.A. (J2000) , Dec. (J2000) , Redshift , Redshift Flag , 1.4 GHz (0.843 MHz) Flux Density (mJy) , 143 GHz Flux Density (mJy) , Optical Magnitude (mag) , 0.1-2.4 keV Flux (10-12 erg cm-2 s-1) , 1-100 GeV Flux (ph cm-2 s-1)
2671 , 5BZBJ1626+3513 , BL Lac , 246.60771 , 35.22819 , 0.498 ,  , 24 ,  , 18.3 , 0.84 , 
2672 , 5BZUJ1626-7638 , Blazar Uncertain type , 246.65896 , -76.64875 ,  ,  , 130 ,  , 14.9 ,  , 5e-10
2673 , 5BZBJ1627+3149 , BL Lac , 246.80408 , 31.83222 ,  ,  , 7 ,  , 19.9 ,  , 
2674 , 5BZGJ1628+2527 , BL Lac-galaxy dominated , 247.16262 , 25.46553 , 0.22 ,  , 72 ,  , 17.3 , 1.41 , 
2675 , 5BZQJ1628-1415 , QSO RLoud flat radio sp. , 247.19425 , -14.26164 , 1.025 ,  , 364 ,  , 20.4 , 0.24 , 
2676 , 5BZQJ1629+4007 , QSO RLoud flat radio sp. , 247.25546 , 40.13331 , 0.272 ,  , 9 ,  , 17.6 , 5.34 , 
2677 , 5BZQJ1630+0701 , QSO RLoud flat radio sp. , 247.67425 , 7.01919 , 0.736 ,  , 100 ,  , 19.3 ,  , 
2678 , 5BZBJ1630+5221 , BL Lac , 247.67975 , 52.36072 ,  ,  , 121 ,  , 17 , 0.33 , 1e-9
2679 , 5BZQJ1631+4927 , QSO RLoud flat radio sp. , 247.81892 , 49.46097 , 0.52 ,  , 312 , 164 , 18.8 , 0.31 , 
2680 , 5BZBJ1631+4217 , BL Lac , 247.85292 , 42.284 , 0.467 ,  , 7 ,  , 19 , 4.08 , 
2681 , 5BZQJ1631+5028 , QSO RLoud flat radio sp. , 247.88242 , 50.47292 , 2.348 ,  , 88 ,  , 20.6 ,  , 
2682 , 5BZBJ1632+1758 , BL Lac , 248.0605 , 17.98044 , 0.287 ,  , 23 ,  , 17.9 ,  , 
2683 , 5BZUJ1632+8232 , Blazar Uncertain type , 248.13321 , 82.53789 , 0.025 ,  , 801 , 618 , 7.7 , 1.33 , 1.1e-9
2684 , 5BZQJ1632-0033 , QSO RLoud flat radio sp. , 248.24033 , -0.55586 , 3.424 ,  , 219 ,  , 21.4 ,  , 
2685 , 5BZUJ1633+2112 , Blazar Uncertain type , 248.33229 , 21.21456 , 0.198 ,  , 32 ,  , 18.3 , 0.42 , 
2686 , 5BZQJ1634-7310 , QSO RLoud flat radio sp. , 248.74404 , -73.17622 , 1.944 ,  , 312 ,  , 19.4 ,  , 
2687 , 5BZQJ1635+3808 , QSO RLoud flat radio sp. , 248.81454 , 38.13458 , 1.814 ,  , 2726 , 2656 , 17.6 , 0.17 , 1.16e-8
2688 , 5BZQJ1636+4715 , QSO RLoud flat radio sp. , 249.10133 , 47.25997 , 0.823 ,  , 19 ,  , 18.8 , 0.1 , 
2689 , 5BZQJ1636+2112 , QSO RLoud flat radio sp. , 249.15908 , 21.21544 , 1.802 ,  , 409 ,  , 19.4 ,  , 
2690 , 5BZBJ1636-1248 , BL Lac , 249.24346 , -12.81014 , 0.246 ,  , 25 ,  , 17.4 , 2.27 , 
