SDSS luminosities of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (8) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The u-band luminosity, L_u, of the galaxy. 
Column 3: The uncertainty of L_u.
Column 4: The sources for the quoted values for L_g and their uncertainties.
Column 5: The g-band luminosity, L_g, of the galaxy.
Column 6: The uncertainty of L_g.
Column 7: The sources for the quoted values for L_g and their uncertainties. 
Column 8: The r-band luminosity, L_r, of the galaxy.
Column 9: The uncertainty of L_r.
Column 10: The sources for the quoted values for L_r and their uncertainties.
Column 11: The i-band luminosity, L_i, of the galaxy.
Column 12: The uncertainty of L_i.
Column 13: The sources for the quoted values for L_i and their uncertainties.
Column 14: The z-band luminosity, L_z, of the galaxy.
Column 15: The uncertainty of L_z.
Column 16: The sources for the quoted values for L_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   L_u    dL_u    s.        L_g    dL_g   s.        L_r    dL_r   s.       L_i    dL_i    s.       L_z    dL_z         s.
       [log(L_sun)]             [log(L_sun)]            [log(L_sun)]           [log(L_sun)]            [log(L_sun)]
-----------------------------------------------------------------------------------------------------------------------------
 116    9.80    0.00       1   10.05    0.00       1   10.17    0.00       1   10.28    0.00       1   10.37    0.00       1
 117    9.93    0.00       1   10.17    0.00       1   10.29    0.00       1   10.38    0.00       1   10.49    0.00       1
 118    9.49    0.17    1002    9.62    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 119    9.58    0.17    1002    9.72    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 120    9.93    0.17    1002   10.09    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 121    9.53    0.17    1002    9.66    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 122    9.56    0.17    1002    9.69    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 123   10.03    0.17    1002   10.20    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 124   10.17    0.17    1012   10.39    0.17    1012   10.52    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 125    9.98    0.00       1   10.23    0.00       1   10.35    0.00       1   10.46    0.00       1   10.57    0.00       1
 126    9.29    0.17    1002    9.40    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 127   10.18    0.17    1002   10.37    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 128    9.17    0.17    1002    9.26    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 129   10.16    0.17    1012   10.38    0.17    1012   10.52    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 130   10.46    0.17    1002   10.67    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 131   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 132    6.39    1.22    1002    6.21    0.68    1002    6.40    0.50    1030   -9.99   -9.99       0   -9.99   -9.99       0
 133    9.56    0.17    1002    9.69    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 134    9.34    0.17    1002    9.45    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 135   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 136    9.97    0.17    1012   10.17    0.17    1012    9.98    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 137    9.57    0.17    1002    9.70    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 138    9.54    0.17    1002    9.67    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 139    9.67    0.17    1002    9.81    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 140    8.99    0.17    1002    9.07    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 141    9.49    0.17    1002    9.62    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 142   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 143    9.96    0.17    1012   10.16    0.17    1012   10.27    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 144   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 145   10.05    0.17    1002   10.22    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 146   10.01    0.17    1002   10.18    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 147   10.26    0.17    1002   10.45    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 148    9.68    0.17    1012    9.86    0.17    1012    9.94    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 149   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 150   10.19    0.17    1012   10.42    0.17    1012   10.55    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 151   10.14    0.17    1002   10.32    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 152    9.18    0.17    1002    9.27    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 153    9.50    0.17    1002    9.62    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 154    8.88    0.17    1002    8.94    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 155    9.95    0.17    1002   10.12    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 156    9.53    0.17    1002    9.66    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 157   10.15    0.17    1012   10.37    0.17    1012   10.43    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 158    9.00    0.17    1002    9.08    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 159    9.72    0.17    1002    9.86    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 160    9.92    0.17    1012   10.11    0.17    1012   10.11    0.17    1030   -9.99   -9.99       0   -9.99   -9.99       0
 161    9.64    0.17    1002    9.78    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 162    9.65    0.17    1002    9.79    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 163    9.53    0.17    1002    9.66    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 164    9.76    0.17    1002    9.91    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 165    9.77    0.17    1002    9.92    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 166    9.48    0.17    1002    9.60    0.17    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
