SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
1342   16.08    0.01       1   14.08    0.00       1   13.24    0.00       1   12.85    0.00       1   12.54    0.00       1
1343   17.81    0.02       1   16.06    0.00       1   15.29    0.00       1   14.95    0.00       1   14.63    0.00       1
1344   18.74    0.05       1   17.05    0.01       1   16.33    0.00       1   16.00    0.01       1   15.71    0.01       1
1345   16.98    0.01       1   15.06    0.00       1   14.25    0.00       1   13.88    0.00       1   13.56    0.00       1
1346   17.36    0.01       1   15.47    0.00       1   14.70    0.00       1   14.34    0.00       1   14.04    0.00       1
1347   17.20    0.01       1   15.31    0.00       1   14.50    0.00       1   14.10    0.00       1   13.76    0.00       1
1348   16.72    0.01       1   14.78    0.00       1   13.98    0.00       1   13.60    0.00       1   13.27    0.00       1
1349   18.94    0.04       1   17.11    0.01       1   16.35    0.00       1   16.00    0.00       1   15.68    0.01       1
1350   19.26    0.06       1   17.36    0.01       1   16.62    0.01       1   16.65    0.01       1   16.00    0.01       1
1351   18.62    0.02       1   16.76    0.00       1   15.88    0.00       1   15.50    0.00       1   15.16    0.00       1
1352   17.12    0.01       1   15.26    0.00       1   14.47    0.00       1   14.11    0.00       1   13.82    0.00       1
1353   16.59    0.01       1   14.89    0.00       1   14.16    0.00       1   13.82    0.00       1   13.53    0.00       1
1354   16.98    0.01       1   15.16    0.00       1   14.38    0.00       1   14.00    0.00       1   13.70    0.00       1
1355   16.38    0.01       1   14.34    0.00       1   13.49    0.00       1   13.14    0.00       1   12.83    0.00       1
1356   17.63    0.02       1   15.95    0.00       1   15.22    0.00       1   14.90    0.00       1   14.58    0.01       1
1357   17.72    0.01       1   16.01    0.00       1   15.24    0.00       1   14.89    0.00       1   14.63    0.00       1
1358   16.23    0.01       1   14.38    0.00       1   13.51    0.00       1   13.16    0.00       1   12.85    0.00       1
1359   17.70    0.01       1   15.90    0.00       1   15.10    0.00       1   14.74    0.00       1   14.42    0.00       1
1360   18.22    0.02       1   16.33    0.00       1   15.52    0.00       1   15.19    0.00       1   14.87    0.01       1
1361   17.94    0.02       1   16.14    0.00       1   15.35    0.00       1   14.99    0.00       1   14.70    0.00       1
1362   19.76    0.08       1   18.24    0.01       1   17.58    0.01       1   17.28    0.01       1   17.07    0.03       1
1363   18.16    0.02       1   16.38    0.00       1   15.62    0.00       1   15.28    0.00       1   14.98    0.01       1
1364   24.37    1.98       1   19.43    0.02       1   18.76    0.01       1   18.46    0.02       1   22.76    1.66       1
1365   18.26    0.02       1   16.31    0.00       1   15.49    0.00       1   15.18    0.00       1   14.89    0.01       1
1366   17.24    0.01       1   15.34    0.00       1   14.50    0.00       1   14.10    0.00       1   13.80    0.00       1
1367   16.74    0.01       1   14.85    0.00       1   14.02    0.00       1   13.66    0.00       1   13.35    0.00       1
1368   24.00    0.01       1   19.20    0.00       1   18.47    0.00       1   18.16    0.00       1   18.48    0.00       1
1369   18.12    0.02       1   16.41    0.00       1   15.65    0.00       1   15.32    0.00       1   15.00    0.01       1
1370   16.74    0.01       1   14.93    0.00       1   14.13    0.00       1   13.76    0.00       1   13.44    0.00       1
1371   17.64    0.02       1   15.30    0.00       1   14.46    0.00       1   14.24    0.00       1   13.95    0.00       1
1372   16.68    0.01       1   14.89    0.00       1   14.10    0.00       1   13.72    0.00       1   13.41    0.00       1
1373   17.01    0.01       1   15.16    0.00       1   14.34    0.00       1   13.97    0.00       1   13.64    0.00       1
1374   18.99    0.03       1   17.30    0.00       1   16.56    0.00       1   16.26    0.01       1   15.97    0.01       1
1375   14.76    0.01       1   12.86    0.00       1   12.05    0.00       1   11.64    0.00       1   11.32    0.00       1
1376   21.46    0.15       1   19.07    0.01       1   18.36    0.01       1   18.03    0.01       1   17.88    0.02       1
1377   21.67    0.13       1   19.74    0.02       1   18.87    0.01       1   18.44    0.01       1   18.19    0.02       1
1378   17.34    0.01       1   15.45    0.00       1   14.62    0.00       1   14.27    0.00       1   13.92    0.00       1
1379   20.06    0.05       1   18.55    0.01       1   17.86    0.01       1   17.52    0.01       1   17.29    0.02       1
1380   17.81    0.03       1   15.95    0.00       1   15.16    0.00       1   14.86    0.00       1   14.58    0.01       1
1381   18.09    0.02       1   16.32    0.00       1   15.55    0.00       1   15.22    0.00       1   14.91    0.01       1
1382   18.32    0.03       1   16.56    0.00       1   15.73    0.00       1   15.41    0.00       1   15.06    0.01       1
1383   17.93    0.01       1   16.13    0.00       1   15.33    0.00       1   15.01    0.00       1   14.69    0.00       1
1384   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1385   17.64    0.02       1   15.80    0.00       1   15.00    0.00       1   15.02    0.00       1   14.30    0.00       1
1386   21.09    0.13       1   19.51    0.02       1   18.86    0.01       1   18.58    0.02       1   18.26    0.05       1
1387   18.38    0.02       1   16.63    0.00       1   15.89    0.00       1   15.57    0.00       1   15.27    0.01       1
1388   16.76    0.01       1   15.01    0.00       1   14.22    0.00       1   13.85    0.00       1   13.54    0.00       1
1389   17.47    0.01       1   15.68    0.00       1   14.89    0.00       1   14.57    0.00       1   14.25    0.00       1
1390   17.45    0.01       1   15.55    0.00       1   14.73    0.00       1   14.39    0.00       1   14.05    0.00       1
1391   20.15    0.09       1   18.33    0.01       1   17.64    0.01       1   17.36    0.01       1   17.11    0.03       1
1392   16.42    0.01       1   14.66    0.00       1   13.88    0.00       1   13.53    0.00       1   13.23    0.00       1
1393   22.08    0.23       1   20.84    0.04       1   20.29    0.03       1   20.08    0.04       1   20.00    0.14       1
1394   20.05    0.38       1   19.51    0.11       1   18.88    0.09       1   18.90    0.16       1   19.16    0.78       1
1395   18.52    0.03       1   16.80    0.00       1   16.02    0.00       1   15.69    0.00       1   15.36    0.01       1
1396   19.80    0.08       1   18.23    0.01       1   17.54    0.01       1   17.24    0.01       1   16.97    0.03       1
1397   22.18    0.40       1   20.63    0.04       1   19.99    0.04       1   19.82    0.06       1   19.33    0.13       1
1398   20.05    0.08       1   18.65    0.01       1   17.95    0.01       1   17.63    0.01       1   17.43    0.04       1
1399   17.77    0.02       1   15.92    0.00       1   15.13    0.00       1   14.78    0.00       1   14.44    0.00       1
1400   20.66    0.12       1   19.11    0.02       1   18.36    0.01       1   18.04    0.01       1   17.78    0.04       1
1401   16.77    0.01       1   14.91    0.00       1   14.08    0.00       1   13.71    0.00       1   13.35    0.00       1
1402   17.61    0.02       1   15.89    0.00       1   15.12    0.00       1   14.79    0.00       1   14.46    0.01       1
1403   16.14    0.01       1   14.23    0.00       1   13.40    0.00       1   13.05    0.00       1   12.71    0.00       1
1404   19.38    0.06       1   18.00    0.01       1   17.30    0.01       1   17.01    0.01       1   16.80    0.03       1
1405   19.09    0.05       1   17.62    0.01       1   16.93    0.01       1   16.64    0.01       1   16.39    0.02       1
1406   21.52    0.20       1   21.08    0.05       1   19.46    0.02       1   18.97    0.02       1   18.47    0.05       1
1407   16.62    0.01       1   14.77    0.00       1   14.00    0.00       1   13.66    0.00       1   13.37    0.00       1
1408   17.86    0.02       1   16.14    0.00       1   15.47    0.00       1   15.14    0.00       1   14.87    0.01       1
1409   17.96    0.02       1   16.22    0.00       1   15.43    0.00       1   15.10    0.00       1   14.78    0.00       1
1410   17.37    0.02       1   15.51    0.00       1   14.75    0.00       1   14.39    0.00       1   14.07    0.00       1
1411   18.84    0.02       1   16.70    0.00       1   15.91    0.00       1   15.55    0.00       1   15.23    0.00       1
1412   17.35    0.01       1   15.46    0.00       1   14.66    0.00       1   14.27    0.00       1   13.92    0.00       1
1413   14.46    0.00       1   12.40    0.00       1   11.58    0.00       1   11.31    0.00       1   10.91    0.00       1
1414   17.51    0.02       1   15.53    0.00       1   14.75    0.00       1   14.37    0.00       1   14.10    0.00       1
1415   18.00    0.02       1   16.37    0.00       1   15.63    0.00       1   15.29    0.00       1   15.01    0.01       1
1416   19.36    0.05       1   17.75    0.01       1   17.04    0.01       1   16.72    0.01       1   16.44    0.01       1
1417   20.29    0.15       1   19.15    0.03       1   18.33    0.02       1   18.11    0.03       1   18.06    0.10       1
1418   17.63    0.01       1   15.78    0.00       1   15.01    0.00       1   14.66    0.00       1   14.33    0.00       1
1419   17.30    0.01       1   15.47    0.00       1   14.71    0.00       1   14.33    0.00       1   14.01    0.00       1
1420   17.09    0.01       1   15.37    0.00       1   14.63    0.00       1   14.37    0.00       1   14.10    0.00       1
1421   22.15    0.24       1   20.43    0.03       1   19.93    0.03       1   19.69    0.03       1   19.34    0.09       1
1422   17.92    0.02       1   16.08    0.00       1   15.32    0.00       1   14.95    0.00       1   14.64    0.00       1
1423   21.14    0.10       1   20.45    0.02       1   19.80    0.02       1   18.94    0.01       1   18.76    0.04       1
1424   16.41    0.01       1   14.59    0.00       1   13.83    0.00       1   13.46    0.00       1   13.13    0.00       1
1425   15.81    0.01       1   13.90    0.00       1   13.08    0.00       1   12.72    0.00       1   12.35    0.00       1
1426   17.32    0.01       1   15.47    0.00       1   14.70    0.00       1   14.34    0.00       1   14.04    0.00       1
1427   19.24    0.11       1   17.45    0.01       1   16.76    0.01       1   16.45    0.01       1   16.15    0.02       1
1428   20.94    0.24       1   19.19    0.03       1   18.64    0.03       1   18.46    0.04       1   18.05    0.09       1
1429   17.83    0.03       1   16.14    0.00       1   15.47    0.00       1   15.16    0.00       1   14.91    0.01       1
1430   17.43    0.02       1   15.54    0.00       1   14.73    0.00       1   14.37    0.00       1   14.08    0.00       1
1431   26.03    0.20       1   20.43    0.03       1   20.21    0.03       1   19.90    0.03       1   19.54    0.10       1
1432   19.03    0.05       1   17.37    0.01       1   16.68    0.01       1   16.37    0.01       1   16.09    0.01       1
1433   17.09    0.01       1   15.21    0.00       1   14.44    0.00       1   14.09    0.00       1   13.76    0.00       1
1434   22.94    0.48       1   21.42    0.06       1   20.16    0.03       1   19.85    0.04       1   20.28    0.21       1
1435   18.75    0.05       1   17.28    0.01       1   16.61    0.01       1   16.33    0.01       1   16.02    0.02       1
1436   20.64    0.13       1   18.80    0.01       1   18.13    0.01       1   17.83    0.01       1   17.53    0.03       1
1437   17.63    0.02       1   15.88    0.00       1   15.10    0.00       1   14.78    0.00       1   14.45    0.01       1
1438   21.99    0.33       1   20.20    0.03       1   19.64    0.03       1   19.31    0.03       1   19.25    0.12       1
1439   17.74    0.02       1   15.89    0.00       1   15.13    0.00       1   14.80    0.00       1   14.47    0.00       1
1440   17.50    0.02       1   15.59    0.00       1   14.86    0.00       1   14.54    0.00       1   14.23    0.00       1
1441   16.22    0.01       1   14.41    0.00       1   13.62    0.00       1   13.27    0.00       1   12.92    0.00       1
1442   18.01    0.02       1   16.20    0.00       1   15.47    0.00       1   15.11    0.00       1   14.80    0.01       1
1443   21.15    0.26       1   19.10    0.02       1   18.46    0.02       1   18.11    0.02       1   17.82    0.05       1
1444   19.13    0.08       1   17.45    0.01       1   16.77    0.01       1   16.54    0.01       1   16.23    0.03       1
1445   19.06    0.07       1   17.45    0.01       1   16.76    0.01       1   16.50    0.01       1   16.25    0.02       1
1446   17.24    0.01       1   15.47    0.00       1   14.76    0.00       1   14.41    0.00       1   14.12    0.00       1
1447   21.13    0.15       1   19.64    0.02       1   19.03    0.02       1   19.03    0.02       1   18.56    0.07       1
1448   21.59    0.23       1   20.32    0.04       1   19.67    0.03       1   19.44    0.04       1   19.42    0.16       1
1449   17.30    0.02       1   15.41    0.00       1   14.72    0.00       1   14.31    0.00       1   14.08    0.00       1
1450   16.55    0.01       1   14.83    0.00       1   14.07    0.00       1   13.70    0.00       1   13.37    0.00       1
1451   17.13    0.01       1   15.28    0.00       1   14.49    0.00       1   14.13    0.00       1   13.79    0.00       1
1452   19.88    0.01       1   18.13    0.00       1   17.41    0.00       1   17.10    0.00       1   16.78    0.00       1
1453   17.41    0.01       1   15.54    0.00       1   14.79    0.00       1   14.45    0.00       1   14.12    0.00       1
1454   16.62    0.01       1   14.78    0.00       1   13.98    0.00       1   13.61    0.00       1   13.28    0.00       1
1455   17.02    0.01       1   15.27    0.00       1   14.51    0.00       1   14.17    0.00       1   13.82    0.00       1
1456   17.90    0.02       1   16.13    0.00       1   15.37    0.00       1   15.03    0.00       1   14.71    0.00       1
1457   16.61    0.01       1   14.73    0.00       1   13.91    0.00       1   13.52    0.00       1   13.16    0.00       1
1458   16.47    0.01       1   14.50    0.00       1   13.68    0.00       1   13.30    0.00       1   12.97    0.00       1
1459   16.35    0.01       1   14.51    0.00       1   13.70    0.00       1   13.37    0.00       1   13.02    0.00       1
1460   15.78    0.01       1   13.87    0.00       1   13.09    0.00       1   12.69    0.00       1   12.34    0.00       1
1461   17.12    0.01       1   15.29    0.00       1   14.52    0.00       1   14.17    0.00       1   13.86    0.00       1
1462   17.46    0.02       1   15.84    0.00       1   15.14    0.00       1   14.83    0.00       1   14.52    0.01       1
1463   17.49    0.02       1   15.70    0.00       1   14.95    0.00       1   14.61    0.00       1   14.33    0.00       1
1464   17.45    0.02       1   15.65    0.00       1   14.90    0.00       1   14.55    0.00       1   14.25    0.00       1
1465   16.41    0.01       1   14.53    0.00       1   13.73    0.00       1   13.35    0.00       1   13.03    0.00       1
1466   17.48    0.02       1   15.59    0.00       1   14.83    0.00       1   14.51    0.00       1   14.17    0.00       1
1467   16.17    0.01       1   14.30    0.00       1   13.50    0.00       1   13.14    0.00       1   12.84    0.00       1
1468   16.20    0.01       1   14.23    0.00       1   13.34    0.00       1   12.93    0.00       1   12.54    0.00       1
1469   17.26    0.02       1   15.52    0.00       1   14.79    0.00       1   14.47    0.00       1   14.15    0.01       1
1470   16.92    0.01       1   14.94    0.00       1   14.14    0.00       1   13.77    0.00       1   13.45    0.00       1
1471   17.81    0.02       1   16.07    0.00       1   15.31    0.00       1   15.00    0.00       1   14.70    0.01       1
1472   17.23    0.01       1   15.38    0.00       1   14.59    0.00       1   14.23    0.00       1   13.89    0.00       1
1473   15.65    0.01       1   13.68    0.00       1   12.83    0.00       1   12.45    0.00       1   12.13    0.00       1
1474   16.25    0.01       1   14.29    0.00       1   13.41    0.00       1   13.00    0.00       1   12.61    0.00       1
1475   16.56    0.01       1   14.68    0.00       1   13.84    0.00       1   13.44    0.00       1   13.06    0.00       1
1476   16.66    0.01       1   14.95    0.00       1   14.12    0.00       1   13.76    0.00       1   13.39    0.00       1
1477   16.86    0.01       1   15.12    0.00       1   14.36    0.00       1   14.02    0.00       1   13.70    0.00       1
1478   17.20    0.02       1   15.43    0.00       1   14.61    0.00       1   14.23    0.00       1   13.87    0.00       1
1479   17.22    0.02       1   15.50    0.00       1   14.80    0.00       1   14.47    0.00       1   14.16    0.01       1
1480   17.15    0.01       1   15.34    0.00       1   14.54    0.00       1   14.19    0.00       1   13.88    0.00       1
1481   16.46    0.01       1   14.53    0.00       1   13.74    0.00       1   13.41    0.00       1   13.11    0.00       1
1482   17.03    0.01       1   15.30    0.00       1   14.56    0.00       1   14.26    0.00       1   13.93    0.00       1
1483   15.65    0.01       1   13.82    0.00       1   13.07    0.00       1   12.74    0.00       1   12.46    0.00       1
1484   16.84    0.01       1   15.04    0.00       1   14.24    0.00       1   13.90    0.00       1   13.54    0.00       1
1485   16.58    0.01       1   14.92    0.00       1   14.14    0.00       1   13.80    0.00       1   13.49    0.00       1
1486   16.99    0.01       1   15.13    0.00       1   14.33    0.00       1   13.97    0.00       1   13.63    0.00       1
1487   16.93    0.01       1   15.05    0.00       1   14.25    0.00       1   13.91    0.01       1   13.59    0.00       1
1488   14.90    0.43    1012   13.01    0.43    1012   12.50    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1489   17.29    0.02       1   15.52    0.00       1   14.81    0.00       1   14.50    0.00       1   14.21    0.01       1
1490   16.87    0.01       1   15.07    0.00       1   14.25    0.00       1   13.88    0.00       1   13.54    0.00       1
1491   16.91    0.01       1   15.20    0.00       1   14.45    0.00       1   14.10    0.00       1   13.83    0.00       1
1492   15.37    0.01       1   13.47    0.00       1   12.65    0.00       1   12.28    0.00       1   12.00    0.00       1
1493   17.74    0.02       1   16.19    0.00       1   15.50    0.00       1   15.19    0.00       1   14.90    0.01       1
1494   15.55    0.01       1   13.68    0.00       1   12.85    0.00       1   12.48    0.00       1   12.19    0.00       1
1495   17.13    0.01       1   15.17    0.00       1   14.30    0.00       1   13.95    0.00       1   13.59    0.00       1
1496   17.78    0.03       1   16.02    0.00       1   15.28    0.00       1   14.94    0.00       1   14.65    0.01       1
1497   16.46    0.01       1   14.59    0.00       1   13.74    0.00       1   13.38    0.00       1   13.02    0.00       1
1498   15.60    0.01       1   13.63    0.00       1   12.82    0.00       1   12.46    0.00       1   12.16    0.00       1
1499   18.27    0.43    1002   16.99    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1500   16.43    0.43    1002   15.02    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1501   16.49    0.43    1002   15.01    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1502   16.44    0.43    1002   14.97    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1503   14.77    0.00       1   12.98    0.00       1   12.24    0.00       1   11.86    0.00       1   11.59    0.00       1
1504   13.16    3.05    1002   12.44    1.70    1002   11.91    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1505   14.86    0.00       1   13.24    0.00       1   12.52    0.00       1   12.19    0.00       1   11.96    0.00       1
1506   14.47    0.00       1   12.60    0.00       1   11.85    0.00       1   11.43    0.00       1   11.15    0.00       1
1507   13.08    0.43    1012   11.16    0.43    1012   10.39    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1508   14.02    0.00       1   11.95    0.01       1   11.61    0.00       1   11.28    0.00       1   11.00    0.00       1
1509   14.14    0.00       1   12.28    0.00       1   11.48    0.00       1   11.07    0.00       1   10.77    0.00       1
1510   12.98    0.00       1   11.15    0.00       1   10.37    0.00       1    9.99    0.00       1    9.65    0.00       1
1511   15.55    0.01       1   13.73    0.00       1   12.96    0.00       1   12.54    0.00       1   12.27    0.00       1
1512   13.47    0.00       1   11.65    0.00       1   10.80    0.00       1   10.26    0.00       1   10.01    0.00       1
1513   15.47    0.01       1   13.74    0.00       1   13.02    0.00       1   12.72    0.00       1   12.45    0.00       1
1514   15.89    0.01       1   14.23    0.00       1   13.51    0.00       1   13.16    0.00       1   12.88    0.00       1
1515   15.12    0.01       1   13.73    0.00       1   13.07    0.00       1   12.67    0.00       1   12.38    0.00       1
1516   15.66    0.01       1   13.83    0.00       1   13.09    0.00       1   12.69    0.00       1   12.44    0.00       1
1517   13.43    3.05    1002   13.04    1.70    1002   12.21    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1518   16.36    3.05    1002   16.25    1.70    1002   15.95    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1519   11.58    3.05    1002   10.97    1.70    1002    9.91    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1520   14.74    0.00       1   12.79    0.00       1   11.91    0.00       1   11.47    0.00       1   11.13    0.00       1
1521   14.28    0.00       1   12.27    0.00       1   11.43    0.00       1   11.01    0.00       1   10.73    0.00       1
1522   14.85    0.00       1   13.04    0.00       1   12.30    0.00       1   11.92    0.00       1   11.64    0.00       1
1523   14.96    0.00       1   13.16    0.00       1   12.34    0.00       1   11.92    0.00       1   11.73    0.00       1
1524   13.78    0.00       1   11.88    0.00       1   11.08    0.00       1   10.65    0.00       1   10.36    0.00       1
1525   15.86    0.01       1   14.23    0.00       1   13.52    0.00       1   13.18    0.00       1   12.93    0.00       1
1526   15.28    0.01       1   13.64    0.00       1   12.92    0.00       1   12.54    0.00       1   12.32    0.00       1
1527   13.74    0.43    1012   11.92    0.43    1012   11.32    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1528   14.74    0.00       1   12.83    0.00       1   12.03    0.00       1   11.60    0.00       1   11.32    0.00       1
1529   13.88    0.00       1   12.05    0.00       1   11.32    0.00       1   10.79    0.00       1   10.62    0.00       1
1530   13.36    0.00       1   12.56    0.00       1   11.78    0.00       1   11.37    0.00       1   11.19    0.00       1
1531   14.16    0.00       1   12.61    0.00       1   11.97    0.00       1   11.64    0.00       1   11.43    0.00       1
1532   13.37    0.00       1   11.59    0.00       1   10.86    0.00       1   10.49    0.00       1   10.22    0.00       1
1533   14.92    0.00       1   13.20    0.00       1   12.45    0.00       1   12.10    0.00       1   11.86    0.00       1
1534   13.79    0.00       1   11.98    0.00       1   11.23    0.00       1   10.83    0.00       1   10.59    0.00       1
1535   16.27    0.01       1   14.55    0.00       1   13.78    0.00       1   13.44    0.00       1   13.20    0.00       1
1536   13.59    0.00       1   11.73    0.00       1   10.93    0.00       1   10.51    0.00       1   10.28    0.00       1
1537   14.86    0.00       1   13.69    0.00       1   13.06    0.00       1   12.74    0.00       1   12.42    0.00       1
1538   15.27    0.01       1   12.98    0.00       1   12.19    0.00       1   11.73    0.00       1   11.47    0.00       1
1539   15.53    0.01       1   13.74    0.00       1   12.92    0.00       1   12.53    0.00       1   12.22    0.00       1
1540   14.37    0.00       1   12.64    0.00       1   11.95    0.00       1   11.60    0.00       1   11.38    0.00       1
1541   13.58    0.00       1   11.67    0.00       1   10.83    0.00       1   10.44    0.00       1   10.14    0.00       1
1542   14.22    0.00       1   12.37    0.00       1   11.62    0.00       1   11.19    0.00       1   10.90    0.00       1
1543   13.30    0.00       1   11.40    0.00       1   10.59    0.00       1   10.12    0.00       1    9.84    0.00       1
1544   14.79    0.00       1   12.89    0.00       1   12.12    0.00       1   11.74    0.00       1   11.47    0.00       1
1545   14.77    0.00       1   12.93    0.00       1   12.12    0.00       1   11.72    0.00       1   11.39    0.00       1
1546   13.98    0.43    1002   12.32    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1547   12.56    0.43    1012   10.71    0.43    1012    9.93    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1548   12.62    0.00       1   10.98    0.00       1   10.16    0.00       1    9.69    0.00       1    9.40    0.00       1
1549   14.04    0.00       1   12.43    0.00       1   11.79    0.00       1   11.42    0.00       1   11.20    0.00       1
1550   10.68    3.05    1002    9.95    1.70    1002    8.28    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1551   14.30    0.00       1   12.44    0.00       1   11.72    0.00       1   11.35    0.00       1   11.11    0.00       1
1552   14.30    0.00       1   12.44    0.00       1   11.60    0.00       1   11.26    0.00       1   10.97    0.00       1
1553   15.74    0.01       1   14.04    0.00       1   13.35    0.00       1   13.04    0.00       1   12.78    0.00       1
1554   14.58    0.00       1   12.71    0.00       1   11.91    0.00       1   11.48    0.00       1   11.23    0.00       1
1555   14.77    0.01       1   13.30    0.00       1   12.59    0.00       1   12.25    0.00       1   11.98    0.00       1
1556   15.07    0.01       1   13.39    0.00       1   12.62    0.00       1   12.22    0.00       1   11.95    0.00       1
1557   15.76    0.01       1   14.27    0.00       1   13.50    0.00       1   13.13    0.00       1   12.80    0.00       1
1558   15.70    3.05    1002   14.77    1.70    1002   14.93    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1559   16.20    0.43    1002   14.79    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1560   15.44    0.01       1   13.69    0.00       1   12.92    0.00       1   12.55    0.00       1   12.27    0.00       1
1561    9.78    3.05    1002    8.83    1.70    1002    7.33    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1562   14.92    0.00       1   12.94    0.00       1   12.09    0.00       1   11.71    0.00       1   11.40    0.00       1
1563   15.68    3.05    1002   15.40    1.70    1002   10.82    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1564   14.69    0.01       1   12.72    0.00       1   11.93    0.00       1   11.53    0.00       1   11.36    0.00       1
1565   15.15    0.43    1002   13.53    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1566   14.11    0.43    1012   12.23    0.43    1012   11.48    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1567   16.28    0.43    1002   14.79    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1568   13.67    0.43    1012   11.89    0.43    1012   11.13    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1569   16.48    3.05    1002   16.50    1.70    1002   15.61    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1570   15.20    0.43    1002   13.60    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1571   14.03    0.43    1012   12.25    0.43    1012   11.68    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1572   18.45    3.05    1002   17.73    1.70    1002   17.36    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1573   14.32    0.00       1   12.57    0.00       1   11.83    0.00       1   11.48    0.00       1   11.28    0.00       1
1574   15.18    3.05    1002   14.43    1.70    1002   14.11    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1575   13.47    0.00       1   11.69    0.00       1   11.01    0.00       1   10.57    0.00       1   10.38    0.00       1
1576   15.97    3.05    1002   15.23    1.70    1002   13.53    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1577   12.62    0.43    1012   10.77    0.43    1012    9.95    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1578   16.86    3.05    1002   16.53    1.70    1002   12.68    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
1579   13.14    0.43    1012   11.47    0.43    1012   10.85    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
1580   14.12    0.00       1   12.39    0.00       1   11.67    0.00       1   11.31    0.00       1   11.07    0.00       1
1581   14.29    0.00       1   12.92    0.00       1   12.28    0.00       1   11.97    0.00       1   11.74    0.00       1
1582   16.26    0.43    1002   14.87    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1583   16.87    0.02       1   15.61    0.00       1   15.16    0.00       1   14.91    0.01       1   14.75    0.02       1
1584   16.09    0.43    1002   14.50    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
1585   15.84    0.01       1   14.18    0.00       1   13.50    0.00       1   13.16    0.00       1   12.87    0.00       1
1586   13.91    0.00       1   11.96    0.00       1   11.12    0.00       1   10.72    0.00       1   10.41    0.00       1
