SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
  83   15.63    0.01       1   13.72    0.00       1   12.90    0.00       1   12.52    0.00       1   12.22    0.00       1
  84   14.66    0.01       1   12.75    0.00       1   11.87    0.00       1   11.47    0.00       1   11.11    0.00       1
  85   16.71    0.01       1   14.83    0.00       1   14.01    0.00       1   13.62    0.00       1   13.29    0.00       1
  86   17.79    0.03       1   16.15    0.00       1   15.41    0.00       1   15.08    0.00       1   14.80    0.01       1
  87   15.51    0.01       1   13.84    0.00       1   13.21    0.00       1   12.93    0.00       1   12.63    0.00       1
  88   15.37    0.43    1002   13.67    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  89   17.64    0.02       1   15.82    0.00       1   15.04    0.00       1   14.67    0.00       1   14.35    0.00       1
  90   16.67    0.02       1   14.84    0.00       1   13.90    0.00       1   13.59    0.00       1   13.29    0.00       1
  91   14.02    0.43    1012   12.14    0.43    1012   11.39    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
  92   15.46    0.43    1002   13.71    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
  93   17.37    0.03       1   15.69    0.00       1   14.95    0.00       1   14.63    0.00       1   14.34    0.01       1
  94   16.08    0.01       1   14.35    0.00       1   13.56    0.00       1   13.21    0.00       1   13.00    0.00       1
  95   16.66    0.01       1   14.76    0.00       1   13.96    0.00       1   13.59    0.00       1   13.23    0.00       1
  96   16.54    0.01       1   14.72    0.00       1   13.91    0.00       1   13.55    0.00       1   13.23    0.00       1
  97   15.22    0.01       1   13.60    0.00       1   12.94    0.00       1   12.61    0.00       1   12.30    0.00       1
  98   16.65    0.01       1   15.41    0.00       1   14.92    0.00       1   14.72    0.00       1   14.48    0.00       1
  99   17.27    0.02       1   15.54    0.00       1   14.77    0.00       1   14.41    0.00       1   14.12    0.00       1
 100   15.98    0.01       1   14.11    0.00       1   13.21    0.00       1   12.77    0.00       1   12.41    0.00       1
 101   16.86    0.01       1   15.14    0.00       1   14.38    0.00       1   14.03    0.00       1   13.70    0.00       1
 102   15.35    0.01       1   13.51    0.00       1   12.71    0.00       1   12.32    0.00       1   12.03    0.00       1
 103   13.17    0.00       1   11.27    0.00       1   10.31    0.00       1    9.87    0.00       1    9.48    0.00       1
 104   15.53    0.01       1   13.85    0.00       1   13.10    0.00       1   12.74    0.00       1   12.42    0.00       1
 105   15.44    0.01       1   13.50    0.00       1   12.63    0.00       1   12.21    0.00       1   11.85    0.00       1
 106   17.89    0.02       1   16.13    0.00       1   15.37    0.00       1   15.02    0.00       1   14.73    0.00       1
 107   14.70    0.01       1   12.81    0.00       1   11.96    0.00       1   11.56    0.00       1   11.29    0.00       1
 108   17.68    0.03       1   15.95    0.00       1   15.20    0.00       1   14.86    0.00       1   14.55    0.01       1
 109   18.42    0.03       1   16.47    0.00       1   15.57    0.00       1   15.22    0.00       1   14.78    0.01       1
 110   14.65    0.00       1   12.77    0.00       1   11.93    0.00       1   11.55    0.00       1   11.28    0.00       1
 111   16.21    0.02       1   14.38    0.00       1   13.47    0.00       1   13.04    0.00       1   12.61    0.00       1
 112   16.67    0.02       1   15.19    0.00       1   14.45    0.00       1   14.10    0.00       1   13.77    0.00       1
 113   14.75    3.05    1002   13.89    1.70    1002   13.33    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 114   19.07    3.05    1002   18.66    1.70    1002   18.06    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 115   13.01    0.00       1   11.14    0.00       1   10.35    0.00       1   12.80    0.02       1    9.67    0.00       1
 116   13.95    0.00       1   12.07    0.00       1   11.29    0.00       1   10.90    0.00       1   10.66    0.00       1
 117   14.41    0.01       1   12.56    0.00       1   11.78    0.00       1   11.44    0.00       1   11.15    0.00       1
 118   16.84    0.43    1002   15.27    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 119   16.58    0.43    1002   14.99    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 120   15.75    0.43    1002   14.08    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 121   16.75    0.43    1002   15.17    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 122   16.68    0.43    1002   15.09    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 123   15.61    0.43    1002   13.91    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 124   14.96    0.43    1012   13.15    0.43    1012   12.36    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 125   14.14    0.00       1   12.26    0.00       1   11.47    0.00       1   11.09    0.00       1   10.79    0.00       1
 126   17.34    0.43    1002   15.82    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 127   17.50    0.43    1002   15.77    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 128   17.66    0.43    1002   16.17    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 129   15.00    0.43    1012   13.20    0.43    1012   12.35    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 130   14.56    0.43    1002   12.77    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 131   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 132   13.52    3.05    1002   12.70    1.70    1002   11.75    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 133   16.67    0.43    1002   15.08    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
