Standard-system magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (5) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent U-band magnitude, m_U, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_U.
Column 4: The sources for the quoted values for m_U and their uncertainties.
Column 5: The apparent B-band magnitude, m_B, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_B.
Column 7: The sources for the quoted values for m_B and their uncertainties. 
Column 8: The apparent V-band magnitude, m_V, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_V.
Column 10: The sources for the quoted values for m_V and their uncertainties.
Column 11: The apparent I-band magnitude, m_I, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_I.
Column 13: The sources for the quoted values for m_I and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------
  id   m_U      dm_U       s.  m_B      dm_B       s.  m_V      dm_V       s.  m_I      dm_I      s. 
       [mag]                   [mag]                   [mag]                   [mag]   
-----------------------------------------------------------------------------------------------------
 180    9.76   -9.99       1    9.29   -9.99       1    8.38   -9.99       1   -9.99   -9.99       0
 181   11.73   -9.99       1   11.32   -9.99       1   10.42   -9.99       1    9.47    0.45    1045
 182   14.27    0.50    1012   13.29   -9.99       1   12.89    0.47    1023   11.99    0.45    1045
 183   12.67   -9.99       1   12.85   -9.99       1   12.35   -9.99       1   -9.99   -9.99       0
 184   13.51   -9.99       1   13.23   -9.99       1   12.46   -9.99       1   -9.99   -9.99       0
 185   -9.99   -9.99       0   13.88   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 186   13.50   -9.99       1   13.08   -9.99       1   12.29   -9.99       1   -9.99   -9.99       0
 187   -9.99   -9.99       0   15.29   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 188   -9.99   -9.99       0   13.89   -9.99       1   13.08   -9.99       1   11.06   -9.99       6
 189   -9.99   -9.99       0   17.44   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 190   -9.99   -9.99       0   14.90   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 191   -9.99   -9.99       0   16.59   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 192   -9.99   -9.99       0   14.17   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 193   -9.99   -9.99       0   17.25   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 194   -9.99   -9.99       0   15.73   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 195   -9.99   -9.99       0   17.40   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 196   -9.99   -9.99       0   17.47   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 197   -9.99   -9.99       0   18.09   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
 198   -9.99   -9.99       0   14.43   -9.99       1   13.75   -9.99       6   12.64   -9.99       6
 199   -9.99   -9.99       0   17.28   -9.99       1   -9.99   -9.99       0   -9.99   -9.99       0
